G,GS,Position,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
85.0,56.0,4,2684.0,6.7,14.1,0.475,0.1,0.5,0.265,6.6,13.7,0.482,5,5.8,0.869,2.5,6,8.6,2.3,0.9,0.5,2.5,3,18.6
53.0,53.0,4,1956.0,7,14.5,0.485,0.1,0.4,0.217,7,14.1,0.493,5.4,6.1,0.88,2.6,6.5,9.1,2.3,0.8,0.3,2.4,2.7,19.6
32.0,3.0,4,728.0,5.8,13.1,0.447,0.2,0.5,0.364,5.6,12.5,0.451,3.9,4.7,0.832,2.4,4.7,7.1,2.3,1.2,0.9,2.6,3.7,15.8
45.0,6.0,4,616.0,4.9,11.6,0.419,0,0,0,4.9,11.6,0.419,1.5,1.9,0.758,2.5,4.5,7,0.9,0.7,1.6,1.6,4.7,11.2
56.0,56.0,2,2152.0,7.5,17,0.44,2.5,6.3,0.392,5,10.7,0.468,4.1,4.5,0.904,1.2,3.6,4.8,4.5,1.2,0.2,2.6,2.2,21.5
82.0,28.0,1,2581.0,4,10.7,0.376,2.2,6.1,0.371,1.8,4.6,0.382,1.4,1.9,0.769,0.4,2.8,3.2,5.2,1.6,0.3,1.8,3,11.7
71.0,0.0,4,1029.0,3.1,7.1,0.443,0,0,0,3.1,7.1,0.446,2.2,3.7,0.589,3.1,7.3,10.4,1.2,1.2,4,1.7,4.2,8.5
51.0,46.0,2,1810.0,4.6,12.2,0.376,1.6,5.2,0.305,3,7,0.428,3.1,3.7,0.824,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.6,13.8
44.0,31.0,1,905.0,4.5,10.2,0.441,0,0.2,0.25,4.5,10,0.444,1.4,1.9,0.729,0.8,2.5,3.2,5,1,0.2,2,2.9,10.4
80.0,37.0,2,1974.0,4.3,10.3,0.422,0.7,2.3,0.281,3.7,8,0.463,2.2,2.9,0.764,1,3.1,4,2.2,1.2,0.3,2.2,3.3,11.6
82.0,82.0,3,2995.0,7.5,17.6,0.426,0.8,2.6,0.322,6.7,15,0.444,4.9,6.3,0.777,2.2,3.8,6,2.7,1.2,0.5,3,2.7,20.7
32.0,3.0,4,256.0,1.3,4.6,0.273,0,0,0,1.3,4.6,0.273,2,4.4,0.452,3,4.4,7.3,1.8,2,0.4,1.4,7,4.5
1.0,0.0,4,6.0,0,6,0,0,0,0,0,6,0,6,12,0.5,0,6,6,6,0,0,6,6,6
1.0,0.0,4,4.0,9,18,0.5,0,0,0,9,18,0.5,0,18,0,0,9,9,0,9,0,0,0,18
30.0,3.0,4,246.0,1.2,4.4,0.267,0,0,0,1.2,4.4,0.267,1.9,4,0.481,3.1,4.2,7.3,1.8,1.9,0.4,1.3,7.2,4.2
55.0,52.0,1,2066.0,6.2,15.9,0.392,2.2,5.8,0.375,4.1,10.1,0.401,4.1,5.5,0.748,1,3.5,4.4,4.8,1.8,0.2,3.9,3.1,18.8
56.0,0.0,2,434.0,5.4,14.5,0.371,1.6,4.3,0.365,3.8,10.2,0.374,0.2,0.3,0.5,1,2.6,3.6,1.2,1,0.2,2,4.1,12.5
79.0,22.0,1,2247.0,4.7,11.8,0.395,2.2,6.9,0.315,2.5,4.9,0.508,2,2.3,0.854,1,2.6,3.6,5,2.1,0.3,2.5,2.4,13.5
71.0,71.0,1,2008.0,6.1,13.8,0.441,0.7,2.1,0.325,5.4,11.7,0.462,3.2,4,0.804,0.7,2.6,3.3,6.4,1.1,0.1,2.8,3,16.1
64.0,24.0,1,1544.0,4.5,11.3,0.397,1.9,5.6,0.336,2.6,5.7,0.457,1.7,2.3,0.753,0.2,2,2.2,5.2,1,0,2.1,2.4,12.5
40.0,0.0,1,751.0,4.2,11.3,0.374,2,6.2,0.323,2.2,5,0.438,1.5,2.1,0.721,0.3,2,2.3,4.6,0.9,0,2.3,2.9,11.9
24.0,24.0,1,793.0,4.7,11.3,0.418,1.8,5,0.351,3,6.3,0.471,1.9,2.5,0.778,0.1,1.9,2,5.8,1.2,0,2,1.9,13.1
69.0,24.0,3,1416.0,3.6,8.8,0.412,0,0.2,0.143,3.6,8.6,0.418,2.8,3.5,0.791,1.3,3.1,4.4,2.2,1.4,0.4,1.9,2.9,10.1
54.0,33.0,4,1313.0,5.7,11.8,0.481,0,0.1,0.333,5.7,11.8,0.483,3.1,4.3,0.726,3.1,4.6,7.7,1.8,0.8,0.9,2.1,4.4,14.6
37.0,33.0,4,1000.0,6,12,0.505,0,0,0,6,12,0.506,3,4,0.732,2.7,4.8,7.6,1.9,0.8,0.8,1.9,3.5,15
17.0,0.0,4,313.0,4.6,11.4,0.404,0.1,0.2,0.5,4.5,11.2,0.402,3.7,5.2,0.711,4.1,3.9,8.1,1.4,0.8,1,2.9,7.1,13
81.0,2.0,1,1385.0,4.6,11.5,0.4,0.7,2.2,0.314,3.9,9.3,0.421,2.6,3.4,0.756,0.8,2.7,3.5,4.5,2.3,0.3,3.2,4.4,12.5
70.0,46.0,1,1500.0,5,11.3,0.447,2,5,0.395,3,6.2,0.488,1.1,1.5,0.77,0.6,2.4,3,4,2.2,0.2,2.9,4.4,13.2
38.0,9.0,3,724.0,3.1,6.9,0.457,0.1,0.6,0.154,3,6.2,0.488,2.1,3,0.705,2.6,4.9,7.5,2.4,1.3,0.1,2.2,3.8,8.5
1.0,0.0,2,11.0,6.5,9.8,0.667,0,0,0,6.5,9.8,0.667,6.5,6.5,1,0,0,0,0,0,0,0,6.5,19.6
59.0,53.0,2,1803.0,4.3,8.5,0.504,2.3,5,0.452,2,3.5,0.577,1.8,2.2,0.827,0.4,3.7,4.1,6.8,1.7,0.3,2.8,2.4,12.7
57.0,9.0,2,1101.0,3.9,9.7,0.404,1.7,4.5,0.37,2.3,5.2,0.434,2,2.3,0.845,0.8,3.2,4,4.8,1.9,0.3,1.7,2.2,11.5
7.0,0.0,5,40.0,3.6,6.3,0.571,0,0,0,3.6,6.3,0.571,0,0,0,4.5,2.7,7.2,0.9,0.9,0,1.8,9,7.2
73.0,7.0,5,1478.0,4.1,9.4,0.443,0,0.2,0.222,4.1,9.1,0.448,1.6,2.2,0.742,2.9,5.9,8.7,1.4,0.6,1.6,1.5,3.9,9.9
23.0,6.0,5,501.0,4,8.4,0.479,0.1,0.1,1,4,8.3,0.474,1.7,2.4,0.697,2.8,5.7,8.5,1.5,0.6,1.4,1.7,4,9.8
50.0,1.0,5,977.0,4.2,9.8,0.427,0,0.3,0.125,4.2,9.5,0.436,1.6,2.1,0.768,2.9,6,8.9,1.4,0.7,1.7,1.4,3.8,10
